id_vendedor;referencia;ajuste_devedor_contabil;compensacao_contabil;saldo_contabil_acumulado
1;01/01/2014;435,28;19,8;415,48
1;01/02/2014;646,62;258,32;803,78
1;01/03/2014;28,16;255,92;576,02
1;01/04/2014;369,53;190,16;755,39
1;01/05/2014;0;293,55;461,84
1;01/06/2014;0;0;461,84
1;01/07/2014;215,34;0,94;676,24
1;01/08/2014;365,46;0;1041,7
1;01/09/2014;0;459,91;581,79
1;01/10/2014;174,55;0;756,34
1;01/11/2014;0;195,06;561,28
1;01/12/2014;0;0;561,28
1;01/01/2015;0;0;561,28
1;01/02/2015;0;98,28;463
1;01/03/2015;331,11;97,71;696,4
1;01/04/2015;335,3;107,12;924,58
1;01/05/2015;0;165,08;759,5
1;01/06/2015;200,04;188,09;771,45
1;01/07/2015;133,3;233,06;671,69
1;01/08/2015;294,15;253,51;712,33
1;01/09/2015;556,89;41,16;1228,06
1;01/10/2015;0;264,83;963,23
1;01/11/2015;0;139,02;824,21
1;01/12/2015;0;0;824,21
1;01/01/2016;263,42;0;1087,63
1;01/02/2016;0;458,5;629,13
1;01/03/2016;0;278,33;350,8
1;01/04/2016;311,12;0;661,92
1;01/05/2016;406,5;235,02;833,4
1;01/06/2016;315,93;364,73;784,6
1;01/07/2016;146,43;0;931,03
1;01/08/2016;12,84;217,54;726,33
1;01/09/2016;0;217,56;508,77
1;01/10/2016;0;137,41;371,36
1;01/11/2016;602,16;0;973,52
1;01/12/2016;292,09;0;1265,61
1;01/01/2017;308,92;0;1574,53
1;01/02/2017;0;528,68;1045,85
1;01/03/2017;0;0;1045,85
1;01/04/2017;526,37;0;1572,22
1;01/05/2017;0;224,97;1347,25
1;01/06/2017;0;0;1347,25
1;01/07/2017;0;83,45;1263,8
1;01/08/2017;185,13;396,03;1052,9
1;01/09/2017;27,2;0;1080,1
1;01/10/2017;0;248,03;832,07
1;01/11/2017;0;14,61;817,46
1;01/12/2017;0;0;817,46
1;01/01/2018;0;0;817,46
1;01/02/2018;0;116,71;700,75
1;01/03/2018;0;18,09;682,66
1;01/04/2018;140,96;0;823,62
1;01/05/2018;0;0;823,62
1;01/06/2018;0;377,35;446,27
1;01/07/2018;510,76;238,74;718,29
1;01/08/2018;0;133,05;585,24
1;01/09/2018;64,36;0;649,6
1;01/10/2018;0;253,3;396,3
1;01/11/2018;0;0;396,3
1;01/12/2018;0;0;396,3
1;01/01/2019;0;146,01;250,29
1;01/02/2019;354,22;0;604,51
1;01/03/2019;119,98;0;724,49
1;01/04/2019;0;14,59;709,9
1;01/05/2019;212,49;0;922,39
1;01/06/2019;0;0;922,39
1;01/07/2019;251,48;0;1173,87
1;01/08/2019;557,32;164,17;1567,02
1;01/09/2019;0;374,65;1192,37
1;01/10/2019;0;0;1192,37
1;01/11/2019;5,15;184,38;1013,14
1;01/12/2019;0;0;1013,14
1;01/01/2020;65,25;0;1078,39
1;01/02/2020;169,9;43,62;1204,67
1;01/03/2020;0;0;1204,67
1;01/04/2020;17,37;52,79;1169,25
1;01/05/2020;0;0;1169,25
1;01/06/2020;246,98;337,12;1079,11
1;01/07/2020;0;154,64;924,47
1;01/08/2020;0;107,78;816,69
1;01/09/2020;0;0;816,69
1;01/10/2020;46,56;295,35;567,9
1;01/11/2020;230,18;0;798,08
1;01/12/2020;0;0;798,08
1;01/01/2021;171,55;0;969,63
1;01/02/2021;645,22;142,79;1472,06
1;01/03/2021;0;0;1472,06
1;01/04/2021;0;0;1472,06
1;01/05/2021;392,68;484,08;1380,66
1;01/06/2021;187,49;102,12;1466,03
1;01/07/2021;570,63;463,32;1573,34
1;01/08/2021;0;0;1573,34
1;01/09/2021;0;0;1573,34
1;01/10/2021;660,87;204,89;2029,32
1;01/11/2021;0;50,68;1978,64
1;01/12/2021;0;0;1978,64
1;01/01/2022;170,4;0;2149,04
1;01/02/2022;0;377,69;1771,35
1;01/03/2022;0;111,58;1659,77
1;01/04/2022;0;68,9;1590,87
1;01/05/2022;0;43,76;1547,11
1;01/06/2022;0;0;1547,11
1;01/07/2022;0;312,74;1234,37
1;01/08/2022;264,41;17,53;1481,25
1;01/09/2022;0;285,06;1196,19
1;01/10/2022;147,4;279,08;1064,51
1;01/11/2022;0;133,25;931,26
1;01/12/2022;389,7;91,6;1229,36
