id_vendedor;nome_vendedor;estado_brasileiro
1;Portal Mix Casa 001;AC
2;Mercado Nuvem Eletronicos 002;AL
3;Universo Shop Beleza 003;AP
4;Ponto Online Esportes 004;AM
5;Nova Vitrine Livros 005;BA
6;Loja Horizonte Pet 006;CE
7;Vitrine Digital Brinquedos 007;DF
8;Viva Store Papelaria 008;ES
9;Conecta Shop Alimentos 009;GO
10;Central Web Moda 010;MA
11;Compra Certa Casa 011;MT
12;Loja Aurora Eletronicos 012;MS
13;Portal Mix Beleza 013;MG
14;Mercado Nuvem Esportes 014;PA
15;Universo Shop Livros 015;PB
16;Ponto Online Pet 016;PR
17;Nova Vitrine Brinquedos 017;PE
18;Loja Horizonte Papelaria 018;PI
19;Vitrine Digital Alimentos 019;RJ
20;Viva Store Moda 020;RN
21;Conecta Shop Casa 021;RS
22;Central Web Eletronicos 022;RO
23;Compra Certa Beleza 023;RR
24;Loja Aurora Esportes 024;SC
25;Portal Mix Livros 025;SP
26;Mercado Nuvem Pet 026;SE
27;Universo Shop Brinquedos 027;TO
28;Ponto Online Papelaria 028;AC
29;Nova Vitrine Alimentos 029;AL
30;Loja Horizonte Moda 030;AP
31;Vitrine Digital Casa 031;AM
32;Viva Store Eletronicos 032;BA
33;Conecta Shop Beleza 033;CE
34;Central Web Esportes 034;DF
35;Compra Certa Livros 035;ES
36;Loja Aurora Pet 036;GO
37;Portal Mix Brinquedos 037;MA
38;Mercado Nuvem Papelaria 038;MT
39;Universo Shop Alimentos 039;MS
40;Ponto Online Moda 040;MG
41;Nova Vitrine Casa 041;PA
42;Loja Horizonte Eletronicos 042;PB
43;Vitrine Digital Beleza 043;PR
44;Viva Store Esportes 044;PE
45;Conecta Shop Livros 045;PI
46;Central Web Pet 046;RJ
47;Compra Certa Brinquedos 047;RN
48;Loja Aurora Papelaria 048;RS
49;Portal Mix Alimentos 049;RO
50;Mercado Nuvem Moda 050;RR
51;Universo Shop Casa 051;SC
52;Ponto Online Eletronicos 052;SP
53;Nova Vitrine Beleza 053;SE
54;Loja Horizonte Esportes 054;TO
55;Vitrine Digital Livros 055;AC
56;Viva Store Pet 056;AL
57;Conecta Shop Brinquedos 057;AP
58;Central Web Papelaria 058;AM
59;Compra Certa Alimentos 059;BA
60;Loja Aurora Moda 060;CE
61;Portal Mix Casa 061;DF
62;Mercado Nuvem Eletronicos 062;ES
63;Universo Shop Beleza 063;GO
64;Ponto Online Esportes 064;MA
65;Nova Vitrine Livros 065;MT
66;Loja Horizonte Pet 066;MS
67;Vitrine Digital Brinquedos 067;MG
68;Viva Store Papelaria 068;PA
69;Conecta Shop Alimentos 069;PB
70;Central Web Moda 070;PR
71;Compra Certa Casa 071;PE
72;Loja Aurora Eletronicos 072;PI
73;Portal Mix Beleza 073;RJ
74;Mercado Nuvem Esportes 074;RN
75;Universo Shop Livros 075;RS
76;Ponto Online Pet 076;RO
77;Nova Vitrine Brinquedos 077;RR
78;Loja Horizonte Papelaria 078;SC
79;Vitrine Digital Alimentos 079;SP
80;Viva Store Moda 080;SE
81;Conecta Shop Casa 081;TO
82;Central Web Eletronicos 082;AC
83;Compra Certa Beleza 083;AL
84;Loja Aurora Esportes 084;AP
85;Portal Mix Livros 085;AM
86;Mercado Nuvem Pet 086;BA
87;Universo Shop Brinquedos 087;CE
88;Ponto Online Papelaria 088;DF
89;Nova Vitrine Alimentos 089;ES
90;Loja Horizonte Moda 090;GO
91;Vitrine Digital Casa 091;MA
92;Viva Store Eletronicos 092;MT
93;Conecta Shop Beleza 093;MS
94;Central Web Esportes 094;MG
95;Compra Certa Livros 095;PA
96;Loja Aurora Pet 096;PB
97;Portal Mix Brinquedos 097;PR
98;Mercado Nuvem Papelaria 098;PE
99;Universo Shop Alimentos 099;PI
100;Ponto Online Moda 100;RJ
101;Nova Vitrine Casa 101;RN
102;Loja Horizonte Eletronicos 102;RS
103;Vitrine Digital Beleza 103;RO
104;Viva Store Esportes 104;RR
105;Conecta Shop Livros 105;SC
106;Central Web Pet 106;SP
107;Compra Certa Brinquedos 107;SE
108;Loja Aurora Papelaria 108;TO
109;Portal Mix Alimentos 109;AC
110;Mercado Nuvem Moda 110;AL
111;Universo Shop Casa 111;AP
112;Ponto Online Eletronicos 112;AM
113;Nova Vitrine Beleza 113;BA
114;Loja Horizonte Esportes 114;CE
115;Vitrine Digital Livros 115;DF
116;Viva Store Pet 116;ES
117;Conecta Shop Brinquedos 117;GO
118;Central Web Papelaria 118;MA
119;Compra Certa Alimentos 119;MT
120;Loja Aurora Moda 120;MS
121;Portal Mix Casa 121;MG
122;Mercado Nuvem Eletronicos 122;PA
123;Universo Shop Beleza 123;PB
124;Ponto Online Esportes 124;PR
125;Nova Vitrine Livros 125;PE
126;Loja Horizonte Pet 126;PI
127;Vitrine Digital Brinquedos 127;RJ
128;Viva Store Papelaria 128;RN
129;Conecta Shop Alimentos 129;RS
130;Central Web Moda 130;RO
131;Compra Certa Casa 131;RR
132;Loja Aurora Eletronicos 132;SC
133;Portal Mix Beleza 133;SP
134;Mercado Nuvem Esportes 134;SE
135;Universo Shop Livros 135;TO
136;Ponto Online Pet 136;AC
137;Nova Vitrine Brinquedos 137;AL
138;Loja Horizonte Papelaria 138;AP
139;Vitrine Digital Alimentos 139;AM
140;Viva Store Moda 140;BA
141;Conecta Shop Casa 141;CE
142;Central Web Eletronicos 142;DF
143;Compra Certa Beleza 143;ES
144;Loja Aurora Esportes 144;GO
145;Portal Mix Livros 145;MA
146;Mercado Nuvem Pet 146;MT
147;Universo Shop Brinquedos 147;MS
148;Ponto Online Papelaria 148;MG
149;Nova Vitrine Alimentos 149;PA
150;Loja Horizonte Moda 150;PB
151;Vitrine Digital Casa 151;PR
152;Viva Store Eletronicos 152;PE
153;Conecta Shop Beleza 153;PI
